comment,comment_without_emo,sentiment,intent
โห กล้องดีมาก!,โห กล้องดีมาก!,Positive,Neutral
ขาอย่างยาว 😄😄,ขาอย่างยาว,Positive,Neutral
อย่างนี้ต้องชื้อละร่ะ,อย่างนี้ต้องชื้อละร่ะ,Positive,Leads
สวยแบบไม่ต้องผ่านแอพเลยยยยย,สวยแบบไม่ต้องผ่านแอพเลยยยยย,Positive,Neutral
ถือจับสะดวกไม่ใหญ่เกินไป(ขนาดพอดีมือ),ถือจับสะดวกไม่ใหญ่เกินไป(ขนาดพอดีมือ),Positive,Neutral
สแกนหน้าได้รวดเร็วแม่นยำ,สแกนหน้าได้รวดเร็วแม่นยำ,Positive,Neutral
เครื่องร้อนเกินไป,เครื่องร้อนเกินไป,Negative,Neutral
แบตเตอรี่ลดเร็วมาก,แบตเตอรี่ลดเร็วมาก,Negative,Neutral
ทัชสกรีนไม่ค่อยติด,ทัชสกรีนไม่ค่อยติด,Negative,Neutral
สแกนนิ้วไม่ค่อยติด,สแกนนิ้วไม่ค่อยติด,Negative,Neutral
ชาร์จเร็วดี,ชาร์จเร็วดี,Positive,Neutral
ใช้ Internet ไม่ได้ ต้อง Restart เครื่อง ถึงจะหาย,ใช้ Internet ไม่ได้ ต้อง Restart เครื่อง ถึงจะหาย,Negative,Neutral
ตัวเครื่อง Glasstic เล่นกับแสงสีได้สวย แม้จะไม่ใช่กระจก,ตัวเครื่อง Glasstic เล่นกับแสงสีได้สวย แม้จะไม่ใช่กระจก,Positive,Neutral
กล้องหลังโหมดโปร ยังไม่สามารถปรับอะไรได้,กล้องหลังโหมดโปร ยังไม่สามารถปรับอะไรได้,Negative,Neutral
วางเครื่องไว้เฉยๆ ก็แอบมีรีบูทเอง,วางเครื่องไว้เฉยๆ ก็แอบมีรีบูทเอง,Negative,Neutral
ไม่ถูกใจโหมดถ่ายกลางคืน รูปไม่ดีเท่าที่คิด,ไม่ถูกใจโหมดถ่ายกลางคืน รูปไม่ดีเท่าที่คิด,Negative,Neutral
Wide-angle ตึกเบี้ยว,Wide-angle ตึกเบี้ยว,Negative,Neutral
ลำโพงดังพอสมควรไม่ดังมาก,ลำโพงดังพอสมควรไม่ดังมาก,Neutral,Neutral
ใส่กระเป๋ากางเกงแล้วไปทัชเอง,ใส่กระเป๋ากางเกงแล้วไปทัชเอง,Negative,Neutral
ฟังเพลงแล้วใช้หูฟังเสียงดีครับ,ฟังเพลงแล้วใช้หูฟังเสียงดีครับ,Positive,Neutral
มีปัญหาการรับสัญญาณหากใส่ 2 ซิม,มีปัญหาการรับสัญญาณหากใส่ 2 ซิม,Negative,Neutral
ทำไมต้องดูไปเขินไปอ่ะ😜😁,ทำไมต้องดูไปเขินไปอ่ะ,Neutral,Neutral
ดูแล้วยิ้มตาม,ดูแล้วยิ้มตาม,Neutral,Neutral
เอ็นดูวว์,เอ็นดูวว์,Neutral,Neutral
โดนตก,โดนตก,Neutral,Neutral
ชอบที่เป็นคุณค่ะ,ชอบที่เป็นคุณค่ะ,Positive,Neutral
เอ็นดู!!!!,เอ็นดู!!!!,Neutral,Neutral
ละลายเลยพ่อเอ่ยยย,ละลายเลยพ่อเอ่ยยย,Positive,Neutral
เหนแก่ตัว,เหนแก่ตัว,Negative,Neutral
ละมุนมากกกกก☺️,ละมุนมากกกกก,Positive,Neutral
โอโห้ใจผม,โอโห้ใจผม,Neutral,Neutral
move on ไม่ได้,move on ไม่ได้,Neutral,Neutral
ฉันเผลอยิ้มตามมม,ฉันเผลอยิ้มตามมม,Neutral,Neutral
Long time no see,Long time no see,Neutral,Neutral
so handsome💚💚💚,so handsome,Positive,Neutral
เฉียบ!!!!,เฉียบ!!!!,Neutral,Neutral
รอเกือบสิ้นชีพ,รอเกือบสิ้นชีพ,Neutral,Neutral
5555เอ็นดูววว,5555เอ็นดูววว,Positive,Neutral
โอ๊ยขำ5555555,โอ๊ยขำ5555556,Neutral,Neutral
เจ๋งสุดๆ,เจ๋งสุดๆ,Positive,Neutral
เด็กน้อยน่ารัก 5555,เด็กน้อยน่ารัก 5556,Positive,Neutral
อยากเล่นด้วยจัง5555,อยากเล่นด้วยจัง5556,Neutral,Neutral
เอาโพสต์คนอื่นมาลงไม่ให้เครดิตเค้าหน่อยหรอคร้า,เอาโพสต์คนอื่นมาลงไม่ให้เครดิตเค้าหน่อยหรอคร้า,Negative,Neutral
So cute😳,So cute,Positive,Neutral
ตายกูตาย,ตายกูตาย,Neutral,Neutral
น่าเกลียดมากอ่ะแย่งผัวเพื่อนรัก,น่าเกลียดมากอ่ะแย่งผัวเพื่อนรัก,Negative,Neutral
อ้าวแย่งผู้อีกแล้ว,อ้าวแย่งผู้อีกแล้ว,Negative,Neutral
ติดงอมแงมเลย😄😄,ติดงอมแงมเลย,Neutral,Neutral
อีจันทร ตอแหล,อีจันทร ตอแหล,Negative,Neutral
ตัวจะแตกตาย,ตัวจะแตกตาย,Negative,Neutral
เขินมากกกแม่😚😚,เขินมากกกแม่,Positive,Neutral
กูตายยหลายรอบละะะะ,กูตายยหลายรอบละะะะ,Neutral,Neutral
น่ารักว่ะโอ้ยยย,น่ารักว่ะโอ้ยยย,Positive,Neutral
หล่อๆๆชอบๆๆๆ,หล่อๆๆชอบๆๆๆ,Positive,Neutral
สุดดดดจิงวะ,สุดดดดจิงวะ,Neutral,Neutral
สุดยอดคนนี้,สุดยอดคนนี้,Positive,Neutral
รักลูกสาว,รักลูกสาว,Positive,Neutral
ราคาใช่เล่นนะเนี่ย ! 😑,ราคาใช่เล่นนะเนี่ย ! ,Negative,Neutral
สวยจัง แต่ราคาแพงจัง,สวยจัง แต่ราคาแพงจัง,Negative,Leads
ของกินsumsung giftไปไหนค่ะ อันนี้เดือดร้อน,ของกินsumsung giftไปไหนค่ะ อันนี้เดือดร้อน,Negative,Question
คง เปลืองไฟน่าดู,คง เปลืองไฟน่าดู,Negative,Neutral
สมจริงมาก จอโค้งยิ่งทำให้เหมือนอยู่ในโลกของเกมส์,สมจริงมาก จอโค้งยิ่งทำให้เหมือนอยู่ในโลกของเกมส์,Positive,Neutral
ความเคิฟ จอโค้ง ต้อง ซัมมซุงจิงค่ะ ชอบมากก,ความเคิฟ จอโค้ง ต้อง ซัมมซุงจิงค่ะ ชอบมากก,Positive,Neutral
สายเกมส์เมอร์ต้องจัดแล้วครับ ,สายเกมส์เมอร์ต้องจัดแล้วครับ ,Neutral,Neutral
ลงทะเบียนแล้วไม่เห็นได้เมลตอบกลับเลยครับ จะชั่วโมงนึงแล้วครับ,ลงทะเบียนแล้วไม่เห็นได้เมลตอบกลับเลยครับ จะชั่วโมงนึงแล้วครับ,Negative,Neutral
ลองเช็ค Junk Mail ดูก่อนนะครับผม,ลองเช็ค Junk Mail ดูก่อนนะครับผม,Neutral,Neutral
คนเราเลือกไม่ได้จริงๆ,คนเราเลือกไม่ได้จริงๆ,Neutral,Neutral
น่ารักอุ่นใจจริงๆ,น่ารักอุ่นใจจริงๆ,Positive,Neutral
รอให้ราคาลงมาอีก​ ค่อยซื้อ,รอให้ราคาลงมาอีก​ ค่อยซื้อ,Negative,Neutral
4Gยังหมุนยุเลยสิไป5G5555,4Gยังหมุนยุเลยสิไป5G5555,Negative,Neutral
ราคาไม่เป็นมิตร​กับสิ่งแวดล้อม555,ราคาไม่เป็นมิตร​กับสิ่งแวดล้อม555,Negative,Neutral
S10 มีปัญหากล้องปิด HDR แล้ว แค่ถ่ายรูปออกมายังทำ HDR ให้อยู่ทุกรูปเลยครับ ทำให้รูปถ่ายออกมาแย่มาก,S10 มีปัญหากล้องปิด HDR แล้ว แค่ถ่ายรูปออกมายังทำ HDR ให้อยู่ทุกรูปเลยครับ ทำให้รูปถ่ายออกมาแย่มาก,Negative,Neutral
เป็นโทรศัพท์ที่ดีนะ ถูกหวยเมื่อไหร่จะซื้อแน่นอนเลย,เป็นโทรศัพท์ที่ดีนะ ถูกหวยเมื่อไหร่จะซื้อแน่นอนเลย,Positive,Leads
"หลังๆมา เริ่มไม่ฮาละ
ทำคลิปแนวเก่า แกล้งคน ฮากว่าเยอะ","หลังๆมา เริ่มไม่ฮาละ
ทำคลิปแนวเก่า แกล้งคน ฮากว่าเยอะ",Negative,Neutral
ก็มันดังแล้ว อะไรหลายๆอย่างก็ต้องเปลี่ยนไป,ก็มันดังแล้ว อะไรหลายๆอย่างก็ต้องเปลี่ยนไป,Negative,Neutral
ทำอะไรเนี่ยเห้อ55555555 หาสาระไม่ได้จริงๆ,ทำอะไรเนี่ยเห้อ55555555 หาสาระไม่ได้จริงๆ,Negative,Neutral
"รักใครเนี่ยยเห้อออ
แต่เธอคือรักเรานะ💙","รักใครเนี่ยยเห้อออ
แต่เธอคือรักเรานะ",Positive,Neutral
รอบหน้าขอเป็นเหยียบระเบิดนะ,รอบหน้าขอเป็นเหยียบระเบิดนะ,Negative,Neutral
เปลี่ยนไปเยอะเหมือนคนละคนเลยพี่,เปลี่ยนไปเยอะเหมือนคนละคนเลยพี่,Negative,Neutral
ทำคลิปนี้ไร้สาระสุดละที่ลงคริปมา,ทำคลิปนี้ไร้สาระสุดละที่ลงคริปมา,Negative,Neutral
ทำไมพี่แมร่งกวนตีนจังว่ะ... หยอกๆ,ทำไมพี่แมร่งกวนตีนจังว่ะ... หยอกๆ,Negative,Neutral
เพื่ออะไรครับ คลิปนี้,เพื่ออะไรครับ คลิปนี้,Negative,Neutral
พี่หล่อมากๆเลยค้าบ,พี่หล่อมากๆเลยค้าบ,Positive,Neutral
ด้วยความปรารถนาดี,ด้วยความปรารถนาดี,Neutral,Neutral
ทีแรกกูชอบนะ แต่หลังๆเริ่มเลอะเทอะล่ะ,ทีแรกกูชอบนะ แต่หลังๆเริ่มเลอะเทอะล่ะ,Negative,Neutral
เหมือนว่าง,เหมือนว่าง,Neutral,Neutral
เสียดายเน็ตว่ะคลิปนี้,เสียดายเน็ตว่ะคลิปนี้,Negative,Neutral
ติดตามแล้วจ้า 😂,ติดตามแล้วจ้า ,Neutral,Neutral
ยังเท่ไม่เปลี่ยน555,ยังเท่ไม่เปลี่ยน555,Positive,Neutral
คิดมากนะพวกมึงอ่ะ,คิดมากนะพวกมึงอ่ะ,Neutral,Neutral
มึงโตมาได้ไงวะ,มึงโตมาได้ไงวะ,Negative,Neutral
ปลอมเก่งมาก,ปลอมเก่งมาก,Negative,Neutral
ไปติดตามให้แล้วนะพี่,ไปติดตามให้แล้วนะพี่,Positive,Neutral
พี่ไม่ตอบแชทเลย,พี่ไม่ตอบแชทเลย,Neutral,Neutral
อากาศร้อน กินไอศครีมรสหมาหน่อยมั้ย,อากาศร้อน กินไอศครีมรสหมาหน่อยมั้ย,Negative,Question
ขอรายละเอียดหน่อยครับ,ขอรายละเอียดหน่อยครับ,Neutral,Leads
รับทำวาดภาพเหมื่อน ราคากันเอง,รับทำวาดภาพเหมื่อน ราคากันเอง,Neutral,Neutral
สุดยอดให้สามผ่าน,สุดยอดให้สามผ่าน,Positive,Neutral
เอาไป!!!!!,เอาไป!!!!!,Neutral,Neutral
คนเเบบนี่ขอให้ตายใว้ๆ,คนเเบบนี่ขอให้ตายใว้ๆ,Negative,Neutral
วันว่างๆ,วันว่างๆ,Neutral,Neutral
ตรวจแล้วไม่เจอสมอง,ตรวจแล้วไม่เจอสมอง,Negative,Neutral
ถ้ามันมีความสุขก็ทำไป,ถ้ามันมีความสุขก็ทำไป,Neutral,Neutral
ยืน1ทุกวงการ!,ยืน1ทุกวงการ!,Neutral,Neutral
สำหรับคนที่ไม่เข้าใจนะครับ นี่คือภาพเกี่ยวข้อง,สำหรับคนที่ไม่เข้าใจนะครับ นี่คือภาพเกี่ยวข้อง,Neutral,Neutral
Happy 🥰,Happy ,Positive,Neutral
สนุกมาก เจอครบทุกคน❤❤❤,สนุกมาก เจอครบทุกคน,Positive,Neutral
สนุกมาก อยากให้มีบ่อยๆ,สนุกมาก อยากให้มีบ่อยๆ,Positive,Neutral
#ชอบงานนี้มากคับ,#ชอบงานนี้มากคับ,Positive,Neutral
ดูวุ่นวายแต่น่ารักกก5555,ดูวุ่นวายแต่น่ารักกก5555,Positive,Neutral
เอ็นดูความนั่งพับเพียบหาข้อมูลให้ 😆😆💗💗,เอ็นดูความนั่งพับเพียบหาข้อมูลให้ ,Positive,Neutral
ขอมอบเพลงนี้..ให้นะ,ขอมอบเพลงนี้..ให้นะ,Positive,Neutral
ใจเย็นๆนะ ค่อยๆพูดทีละคน,ใจเย็นๆนะ ค่อยๆพูดทีละคน,Positive,Neutral
นั่งกินข้าวไปดูไป5555,นั่งกินข้าวไปดูไป5555,Neutral,Neutral
ขนาดน้ำหอมที่ใช้ยังมีชื่อนี้😍,ขนาดน้ำหอมที่ใช้ยังมีชื่อนี้,Neutral,Neutral
มาดูทานตะวันตกดิน555,มาดูทานตะวันตกดิน555,Neutral,Neutral
เงียบกริบ55,เงียบกริบ55,Neutral,Neutral
แค่เห็นก็ขำละ 555555,แค่เห็นก็ขำละ 555555,Neutral,Neutral
ขับอยู่ดีๆรถชน,ขับอยู่ดีๆรถจะชน,Positive,Neutral
ดูหน้าก็รู้ว่ากวนน,ดูหน้าก็รู้ว่ากวนน,Neutral,Neutral
หน้าน้องถูกชะตามากฮะ,หน้าน้องถูกชะตามากฮะ,Positive,Neutral
น่ารักมากคะ ปึกตั้งแต่น่อยเนาะ😂,น่ารักมากคะ ปึกตั้งแต่น่อยเนาะ,Negative,Neutral
นิสัยไม่ดีทิ้งลูกไม่ชอบ,นิสัยไม่ดีทิ้งลูกไม่ชอบ,Negative,Neutral
มึงมันร้ายยยย😈,มึงมันร้ายยยย,Negative,Neutral
จะปล่อยไม่ปล่อย ปล่อยเดี๋ยวนี้!,จะปล่อยไม่ปล่อย ปล่อยเดี๋ยวนี้!,Negative,Neutral
ตบเอาๆเว้ย,ตบเอาๆเว้ย,Negative,Neutral
กลัวยายหาย,กลัวยายหาย,Neutral,Neutral
น่ารักจังเลย ดูเป็นครอบครัวที่อบอุ่นมาก🥰,น่ารักจังเลย ดูเป็นครอบครัวที่อบอุ่นมาก,Positive,Neutral
น่ารักจิงๆบ้านนี้ดูแล้วอมยิ้มตามเลย 😍,น่ารักจิงๆบ้านนี้ดูแล้วอมยิ้มตามเลย ,Positive,Neutral
หมาไม่เหงาหรอกคนนี่แหละเหงา555,หมาไม่เหงาหรอกคนนี่แหละเหงา555,Neutral,Neutral
สู้ๆครับ เป็นกำลังใจให้ครับ,สู้ๆครับ เป็นกำลังใจให้ครับ,Positive,Neutral
ของโปรดน้องงงง🥺🥺🥺🥺😍,ของโปรดน้องงงง,Positive,Neutral
เป็นตาม่วนแท้หล่า,เป็นตาม่วนแท้หล่า,Positive,Neutral
ตื่นเต้นนนนนน,ตื่นเต้นนนนนน,Negative,Neutral
เก่งมากค่ะ พัฒนาต่อไปนะคะ,เก่งมากค่ะ พัฒนาต่อไปนะคะ,Positive,Neutral
ทำไมเอาเรื่องจังงะ55555,ทำไมเอาเรื่องจังงะ55555,Negative,Neutral
แต่ดูทรงแล้วน่าจะโดนเมียตบ,แต่ดูทรงแล้วน่าจะโดนเมียตบ,Negative,Neutral
เกิ๊นนนน555555,เกิ๊นนนน555555,Neutral,Neutral
ก็ดำเหมือนกันนะเนี้ยยยยยยยย,ก็ดำเหมือนกันนะเนี้ยยยยยยยย,Negative,Neutral
ดีเขาไม่กระทืบมึงอ่ะ,ดีเขาไม่กระทืบมึงอ่ะ,Negative,Neutral
บ้ากาม,บ้ากาม,Negative,Neutral
โคตรเท่,โคตรเท่,Positive,Neutral
อยากให้ไปวันว่างๆอีก,อยากให้ไปวันว่างๆอีก,Neutral,Neutral
บริการดี พนักงานพูดไทยไม่ชัด ต้องปรับปรุง,บริการดี พนักงานพูดไทยไม่ชัด ต้องปรับปรุง,Negative,Neutral
ช่วยเหลือสังคมบ้าง,ช่วยเหลือสังคมบ้าง,Negative,Neutral
หน้าตาไม่เฟี้ยวฟ้าว เลยปวดร้าวแบบฟรุ้งฟริ้ง,หน้าตาไม่เฟี้ยวฟ้าว เลยปวดร้าวแบบฟรุ้งฟริ้ง,Neutral,Neutral
รถผมโดนตำรวจยึดครับ ก็เลยต้องเดินเท้าครับ,รถผมโดนตำรวจยึดครับ ก็เลยต้องเดินเท้าครับ,Neutral,Neutral
กวนตีนเหมือนกันนะเนี่ย 555,กวนตีนเหมือนกันนะเนี่ย 555,Negative,Neutral
เห็นเเล้วของขึ้น,เห็นเเล้วของขึ้น,Negative,Neutral
อย่างเท่ห์555,อย่างเท่ห์555,Positive,Neutral
อะไรของมึงเนี่ย,อะไรของมึงเนี่ย,Negative,Neutral
เถื่อน,เถื่อน,Negative,Neutral
เศร้าจังเลย,เศร้าจังเลย,Negative,Neutral
วันนี้เป็นวันที่เศร้า,วันนี้เป็นวันที่เศร้า,Negative,Neutral
สั่งตั้งแต่วันศุกร์ไม่ได้ของสักที,สั่งตั้งแต่วันศุกร์ไม่ได้ของสักที,Negative,Neutral
ขอบคุณครับ,ขอบคุณครับ,Positive,Neutral
ผมขอแสดงความยินดีกับคุณด้วยนะครับ,ผมขอแสดงความยินดีกับคุณด้วยนะครับ,Positive,Neutral
ผมมีความสุข,ผมมีความสุข,Positive,Neutral
เธอมีความสุขผมก็ดีใจแล้ว,เธอมีความสุขผมก็ดีใจแล้ว,Positive,Neutral
ส่งของเร็ว ใส่ได้พอดี ไม่คับไม่หลวมจนเกินไป ผ้ารองเท้าน่าจะทนอยู่ สวยคุ้มราคา รวมๆแล้วคุ้มครับ,ส่งของเร็ว ใส่ได้พอดี ไม่คับไม่หลวมจนเกินไป ผ้ารองเท้าน่าจะทนอยู่ สวยคุ้มราคา รวมๆแล้วคุ้มครับ,Positive,Neutral
ได้รับแล้วครับ ส่งรวดเร็วดีมาก คุ้มค่าสมราคาครับ,ได้รับแล้วครับ ส่งรวดเร็วดีมาก คุ้มค่าสมราคาครับ,Positive,Neutral
สินค้าส่งเร็ว ของเหมือนในรูปเปะใส่สบาย ราคาเท่านี้ถือว่าคุ้ม,สินค้าส่งเร็ว ของเหมือนในรูปเปะใส่สบาย ราคาเท่านี้ถือว่าคุ้ม,Positive,Neutral
ใส่สบาย เบา และนุ่ม มาก ไม่กลัวเปียกน้ำเพราะแห้งเร็ว,ใส่สบาย เบา และนุ่ม มาก ไม่กลัวเปียกน้ำเพราะแห้งเร็ว,Positive,Neutral
สวย ราคาถูก ใส่สบาย โดยรวมดีครับ,สวย ราคาถูก ใส่สบาย โดยรวมดีครับ,Positive,Neutral
รองเท้านิ่ม ใส่สบาย โอเคเลยครับ,รองเท้านิ่ม ใส่สบาย โอเคเลยครับ,Positive,Neutral
ได้รับของแล้วรองเท้าสวยสมราคาจัดส่งรวดเร็วมากค่ะ,ได้รับของแล้วรองเท้าสวยสมราคาจัดส่งรวดเร็วมากค่ะ,Positive,Neutral
รองเท้าใส่ได้พอดีเลยค่ะ ใส่สบายมากค่ะ การบริการส่งก็ดีมากค่ะ ส่งเร็ว สะดวก สบายดีค่ะ,รองเท้าใส่ได้พอดีเลยค่ะ ใส่สบายมากค่ะ การบริการส่งก็ดีมากค่ะ ส่งเร็ว สะดวก สบายดีค่ะ,Positive,Neutral
ได้ของเร็วคุณภาพถือว่าดีในราคานี้ได้ของเร็วสั่งสองวันได้,ได้ของเร็วคุณภาพถือว่าดีในราคานี้ได้ของเร็วสั่งสองวันได้,Positive,Neutral
เนื้อดี ส่งไว ไม่เสียหาย คุณภาพสมราคา,เนื้อดี ส่งไว ไม่เสียหาย คุณภาพสมราคา,Positive,Neutral
สินค้าดี คุ้มราคา ใส่สบายเบา คุ้มอ่ะ,สินค้าดี คุ้มราคา ใส่สบายเบา คุ้มอ่ะ,Positive,Neutral
ดีครับผมใส่แล้ว สบายมากเลย,ดีครับผมใส่แล้ว สบายมากเลย,Positive,Neutral
อยากรู้ว่าดีไงต้องลอง,อยากรู้ว่าดีไงต้องลอง,Positive,Neutral
แจ่มคับเบาสบาย,แจ่มคับเบาสบาย,Positive,Neutral
ใส่สบายดีครับ,ใส่สบายดีครับ,Positive,Neutral
ได้ของเร็ว ตรงตามที่สั่ง ดีมากครับ ชอบๆ กำลังจะสั่งเพิ่มอีก 1 คู่,ได้ของเร็ว ตรงตามที่สั่ง ดีมากครับ ชอบๆ กำลังจะสั่งเพิ่มอีก 1 คู่,Positive,Neutral
สวย ขนาดพอดีกับไซด์ปกติ เบาสบาย สวยถูกใจมากเลยค่ะ,สวย ขนาดพอดีกับไซด์ปกติ เบาสบาย สวยถูกใจมากเลยค่ะ,Positive,Neutral
